"","area_code","year","item_code","source_code","value","element","item","area","source"
"118",70,2020,15,255,0,"Import Quantity","Wheat","French Polynesia","Belgium"
"119",79,2020,15,255,164612,"Import Quantity","Wheat","Germany","Belgium"
"120",84,2020,15,255,0,"Import Quantity","Wheat","Greece","Belgium"
"121",97,2020,15,255,22,"Import Quantity","Wheat","Hungary","Belgium"
"122",99,2020,15,255,2,"Import Quantity","Wheat","Iceland","Belgium"
"123",103,2020,15,255,427,"Import Quantity","Wheat","Iraq","Belgium"
"124",104,2020,15,255,12,"Import Quantity","Wheat","Ireland","Belgium"
"125",106,2020,15,255,10131,"Import Quantity","Wheat","Italy","Belgium"
"126",256,2020,15,255,3390,"Import Quantity","Wheat","Luxembourg","Belgium"
"127",134,2020,15,255,0,"Import Quantity","Wheat","Malta","Belgium"
"128",143,2020,15,255,0,"Import Quantity","Wheat","Morocco","Belgium"
"129",150,2020,15,255,400194,"Import Quantity","Wheat","Netherlands","Belgium"
"130",153,2020,15,255,0,"Import Quantity","Wheat","New Caledonia","Belgium"
"131",173,2020,15,255,134,"Import Quantity","Wheat","Poland","Belgium"
"132",174,2020,15,255,31,"Import Quantity","Wheat","Portugal","Belgium"
"133",117,2020,15,255,590,"Import Quantity","Wheat","Republic of Korea","Belgium"
"134",183,2020,15,255,1,"Import Quantity","Wheat","Romania","Belgium"
"135",184,2020,15,255,0,"Import Quantity","Wheat","Rwanda","Belgium"
"136",196,2020,15,255,0,"Import Quantity","Wheat","Seychelles","Belgium"
"137",203,2020,15,255,151,"Import Quantity","Wheat","Spain","Belgium"
"138",210,2020,15,255,22,"Import Quantity","Wheat","Sweden","Belgium"
"139",211,2020,15,255,17,"Import Quantity","Wheat","Switzerland","Belgium"
"140",223,2020,15,255,4,"Import Quantity","Wheat","Turkey","Belgium"
"141",225,2020,15,255,0,"Import Quantity","Wheat","United Arab Emirates","Belgium"
"142",229,2020,15,255,151,"Import Quantity","Wheat","United Kingdom of Great Britain and Northern Ireland","Belgium"
"143",231,2020,15,255,0,"Import Quantity","Wheat","United States of America","Belgium"
"144",98,2020,15,80,27268,"Import Quantity","Wheat","Croatia","Bosnia and Herzegovina"
"145",106,2020,15,80,106,"Import Quantity","Wheat","Italy","Bosnia and Herzegovina"
"146",272,2020,15,80,64,"Import Quantity","Wheat","Serbia","Bosnia and Herzegovina"
"147",223,2020,15,80,9071,"Import Quantity","Wheat","Turkey","Bosnia and Herzegovina"
"148",225,2020,15,80,0,"Import Quantity","Wheat","United Arab Emirates","Bosnia and Herzegovina"
"149",202,2020,15,20,278,"Import Quantity","Wheat","South Africa","Botswana"
"150",9,2020,15,21,0,"Import Quantity","Wheat","Argentina","Brazil"
"151",11,2020,15,21,0,"Import Quantity","Wheat","Austria","Brazil"
"152",19,2020,15,21,2,"Import Quantity","Wheat","Bolivia (Plurinational State of)","Brazil"
"153",80,2020,15,21,0,"Import Quantity","Wheat","Bosnia and Herzegovina","Brazil"
"154",96,2020,15,21,0,"Import Quantity","Wheat","China, Hong Kong SAR","Brazil"
"155",68,2020,15,21,0,"Import Quantity","Wheat","France","Brazil"
"156",101,2020,15,21,66000,"Import Quantity","Wheat","Indonesia","Brazil"
"157",105,2020,15,21,54000,"Import Quantity","Wheat","Israel","Brazil"
"158",127,2020,15,21,0,"Import Quantity","Wheat","Marshall Islands","Brazil"
"159",165,2020,15,21,65683,"Import Quantity","Wheat","Pakistan","Brazil"
"160",166,2020,15,21,0,"Import Quantity","Wheat","Panama","Brazil"
"161",169,2020,15,21,32,"Import Quantity","Wheat","Paraguay","Brazil"
"162",171,2020,15,21,31801,"Import Quantity","Wheat","Philippines","Brazil"
"163",194,2020,15,21,62460,"Import Quantity","Wheat","Saudi Arabia","Brazil"
"164",200,2020,15,21,0,"Import Quantity","Wheat","Singapore","Brazil"
"165",276,2020,15,21,0,"Import Quantity","Wheat","Sudan","Brazil"
"166",234,2020,15,21,19,"Import Quantity","Wheat","Uruguay","Brazil"
"167",237,2020,15,21,280881,"Import Quantity","Wheat","Viet Nam","Brazil"
"168",3,2020,15,27,2125,"Import Quantity","Wheat","Albania","Bulgaria"
"169",11,2020,15,27,111,"Import Quantity","Wheat","Austria","Bulgaria"
"170",16,2020,15,27,60159,"Import Quantity","Wheat","Bangladesh","Bulgaria"
"171",50,2020,15,27,4980,"Import Quantity","Wheat","Cyprus","Bulgaria"
"172",59,2020,15,27,52551,"Import Quantity","Wheat","Egypt","Bulgaria"
"173",73,2020,15,27,2,"Import Quantity","Wheat","Georgia","Bulgaria"
"174",79,2020,15,27,1562,"Import Quantity","Wheat","Germany","Bulgaria"
"175",84,2020,15,27,447846,"Import Quantity","Wheat","Greece","Bulgaria"
"176",101,2020,15,27,79532,"Import Quantity","Wheat","Indonesia","Bulgaria"
"177",104,2020,15,27,63686,"Import Quantity","Wheat","Ireland","Bulgaria"
"178",105,2020,15,27,108706,"Import Quantity","Wheat","Israel","Bulgaria"
"179",106,2020,15,27,183701,"Import Quantity","Wheat","Italy","Bulgaria"
"180",121,2020,15,27,122882,"Import Quantity","Wheat","Lebanon","Bulgaria"
"181",124,2020,15,27,186959,"Import Quantity","Wheat","Libya","Bulgaria"
"182",150,2020,15,27,1,"Import Quantity","Wheat","Netherlands","Bulgaria"
"183",154,2020,15,27,1151,"Import Quantity","Wheat","North Macedonia","Bulgaria"
"184",165,2020,15,27,54750,"Import Quantity","Wheat","Pakistan","Bulgaria"
"185",171,2020,15,27,266918,"Import Quantity","Wheat","Philippines","Bulgaria"
"186",173,2020,15,27,43,"Import Quantity","Wheat","Poland","Bulgaria"
"187",174,2020,15,27,59250,"Import Quantity","Wheat","Portugal","Bulgaria"
"188",179,2020,15,27,22,"Import Quantity","Wheat","Qatar","Bulgaria"
"189",183,2020,15,27,386386,"Import Quantity","Wheat","Romania","Bulgaria"
"190",272,2020,15,27,17230,"Import Quantity","Wheat","Serbia","Bulgaria"
"191",198,2020,15,27,31,"Import Quantity","Wheat","Slovenia","Bulgaria"
"192",203,2020,15,27,636679,"Import Quantity","Wheat","Spain","Bulgaria"
"193",276,2020,15,27,132444,"Import Quantity","Wheat","Sudan","Bulgaria"
"194",216,2020,15,27,116637,"Import Quantity","Wheat","Thailand","Bulgaria"
"195",222,2020,15,27,92358,"Import Quantity","Wheat","Tunisia","Bulgaria"
"196",223,2020,15,27,144221,"Import Quantity","Wheat","Turkey","Bulgaria"
"197",225,2020,15,27,215,"Import Quantity","Wheat","United Arab Emirates","Bulgaria"
"198",231,2020,15,27,97,"Import Quantity","Wheat","United States of America","Bulgaria"
"199",255,2020,15,32,0,"Import Quantity","Wheat","Belgium","Cameroon"
"200",4,2020,15,33,419094,"Import Quantity","Wheat","Algeria","Canada"
"201",10,2020,15,33,424742,"Import Quantity","Wheat","Australia","Canada"
"202",16,2020,15,33,1145481,"Import Quantity","Wheat","Bangladesh","Canada"
"203",14,2020,15,33,5,"Import Quantity","Wheat","Barbados","Canada"
"204",255,2020,15,33,176719,"Import Quantity","Wheat","Belgium","Canada"
"205",19,2020,15,33,3001,"Import Quantity","Wheat","Bolivia (Plurinational State of)","Canada"
"206",21,2020,15,33,81729,"Import Quantity","Wheat","Brazil","Canada"
"207",29,2020,15,33,1000,"Import Quantity","Wheat","Burundi","Canada"
"208",32,2020,15,33,174430,"Import Quantity","Wheat","Cameroon","Canada"
"209",40,2020,15,33,435758,"Import Quantity","Wheat","Chile","Canada"
"210",96,2020,15,33,0,"Import Quantity","Wheat","China, Hong Kong SAR","Canada"
"211",128,2020,15,33,0,"Import Quantity","Wheat","China, Macao SAR","Canada"
"212",41,2020,15,33,2843917,"Import Quantity","Wheat","China, mainland","Canada"
"213",214,2020,15,33,35409,"Import Quantity","Wheat","China, Taiwan Province of","Canada"
"214",44,2020,15,33,1330123,"Import Quantity","Wheat","Colombia","Canada"
"215",48,2020,15,33,215354,"Import Quantity","Wheat","Costa Rica","Canada"
"216",107,2020,15,33,18821,"Import Quantity","Wheat","Cote dIvoire","Canada"
"217",49,2020,15,33,71251,"Import Quantity","Wheat","Cuba","Canada"
"218",54,2020,15,33,265,"Import Quantity","Wheat","Denmark","Canada"
"219",56,2020,15,33,352081,"Import Quantity","Wheat","Dominican Republic","Canada"
"220",58,2020,15,33,658782,"Import Quantity","Wheat","Ecuador","Canada"
"221",59,2020,15,33,35324,"Import Quantity","Wheat","Egypt","Canada"
"222",60,2020,15,33,55008,"Import Quantity","Wheat","El Salvador","Canada"
"223",68,2020,15,33,18760,"Import Quantity","Wheat","France","Canada"
"224",74,2020,15,33,2501,"Import Quantity","Wheat","Gabon","Canada"
"225",79,2020,15,33,444,"Import Quantity","Wheat","Germany","Canada"
"226",81,2020,15,33,407210,"Import Quantity","Wheat","Ghana","Canada"
"227",89,2020,15,33,104245,"Import Quantity","Wheat","Guatemala","Canada"
"228",93,2020,15,33,111051,"Import Quantity","Wheat","Haiti","Canada"
"229",100,2020,15,33,1301,"Import Quantity","Wheat","India","Canada"
"230",101,2020,15,33,2305662,"Import Quantity","Wheat","Indonesia","Canada"
"231",105,2020,15,33,73120,"Import Quantity","Wheat","Israel","Canada"
"232",106,2020,15,33,1735486,"Import Quantity","Wheat","Italy","Canada"
"233",110,2020,15,33,2044235,"Import Quantity","Wheat","Japan","Canada"
"234",112,2020,15,33,0,"Import Quantity","Wheat","Jordan","Canada"
"235",108,2020,15,33,248,"Import Quantity","Wheat","Kazakhstan","Canada"
"236",114,2020,15,33,88245,"Import Quantity","Wheat","Kenya","Canada"
"237",118,2020,15,33,59659,"Import Quantity","Wheat","Kuwait","Canada"
"238",119,2020,15,33,19350,"Import Quantity","Wheat","Latvia","Canada"
"239",124,2020,15,33,14753,"Import Quantity","Wheat","Libya","Canada"
"240",130,2020,15,33,12702,"Import Quantity","Wheat","Malawi","Canada"
"241",131,2020,15,33,153838,"Import Quantity","Wheat","Malaysia","Canada"
"242",136,2020,15,33,14000,"Import Quantity","Wheat","Mauritania","Canada"
"243",138,2020,15,33,747155,"Import Quantity","Wheat","Mexico","Canada"
"244",143,2020,15,33,1094361,"Import Quantity","Wheat","Morocco","Canada"
"245",144,2020,15,33,251151,"Import Quantity","Wheat","Mozambique","Canada"
"246",28,2020,15,33,24354,"Import Quantity","Wheat","Myanmar","Canada"
"247",147,2020,15,33,8000,"Import Quantity","Wheat","Namibia","Canada"
"248",149,2020,15,33,1190,"Import Quantity","Wheat","Nepal","Canada"
"249",150,2020,15,33,23443,"Import Quantity","Wheat","Netherlands","Canada"
"250",156,2020,15,33,732,"Import Quantity","Wheat","New Zealand","Canada"
"251",157,2020,15,33,64581,"Import Quantity","Wheat","Nicaragua","Canada"
"252",159,2020,15,33,997697,"Import Quantity","Wheat","Nigeria","Canada"
"253",221,2020,15,33,48289,"Import Quantity","Wheat","Oman","Canada"
"254",170,2020,15,33,1728382,"Import Quantity","Wheat","Peru","Canada"
"255",171,2020,15,33,282186,"Import Quantity","Wheat","Philippines","Canada"
"256",174,2020,15,33,41346,"Import Quantity","Wheat","Portugal","Canada"
"257",117,2020,15,33,306646,"Import Quantity","Wheat","Republic of Korea","Canada"
"258",184,2020,15,33,1000,"Import Quantity","Wheat","Rwanda","Canada"
"259",189,2020,15,33,2750,"Import Quantity","Wheat","Saint Lucia","Canada"
"260",195,2020,15,33,20368,"Import Quantity","Wheat","Senegal","Canada"
"261",200,2020,15,33,24390,"Import Quantity","Wheat","Singapore","Canada"
"262",202,2020,15,33,149387,"Import Quantity","Wheat","South Africa","Canada"
"263",203,2020,15,33,91514,"Import Quantity","Wheat","Spain","Canada"
"264",38,2020,15,33,495867,"Import Quantity","Wheat","Sri Lanka","Canada"
"265",276,2020,15,33,54127,"Import Quantity","Wheat","Sudan","Canada"
"266",216,2020,15,33,284493,"Import Quantity","Wheat","Thailand","Canada"
"267",217,2020,15,33,40004,"Import Quantity","Wheat","Togo","Canada"
"268",220,2020,15,33,1,"Import Quantity","Wheat","Trinidad and Tobago","Canada"
"269",222,2020,15,33,325814,"Import Quantity","Wheat","Tunisia","Canada"
"270",223,2020,15,33,379025,"Import Quantity","Wheat","Turkey","Canada"
"271",226,2020,15,33,5700,"Import Quantity","Wheat","Uganda","Canada"
"272",225,2020,15,33,283310,"Import Quantity","Wheat","United Arab Emirates","Canada"
"273",229,2020,15,33,489993,"Import Quantity","Wheat","United Kingdom of Great Britain and Northern Ireland","Canada"
"274",215,2020,15,33,33425,"Import Quantity","Wheat","United Republic of Tanzania","Canada"
"275",231,2020,15,33,1772040,"Import Quantity","Wheat","United States of America","Canada"
"276",236,2020,15,33,136825,"Import Quantity","Wheat","Venezuela (Bolivarian Republic of)","Canada"
"277",237,2020,15,33,250829,"Import Quantity","Wheat","Viet Nam","Canada"
"278",11,2020,15,40,0,"Import Quantity","Wheat","Austria","Chile"
"279",19,2020,15,40,4,"Import Quantity","Wheat","Bolivia (Plurinational State of)","Chile"
"280",33,2020,15,40,5,"Import Quantity","Wheat","Canada","Chile"
"281",167,2020,15,40,0,"Import Quantity","Wheat","Czechia","Chile"
"282",67,2020,15,40,1,"Import Quantity","Wheat","Finland","Chile"
"283",211,2020,15,40,0,"Import Quantity","Wheat","Switzerland","Chile"
"284",96,2020,15,214,9,"Import Quantity","Wheat","China, Hong Kong SAR","China, Taiwan Province of"
"285",131,2020,15,214,0,"Import Quantity","Wheat","Malaysia","China, Taiwan Province of"
"286",237,2020,15,214,24,"Import Quantity","Wheat","Viet Nam","China, Taiwan Province of"
"287",231,2020,15,44,0,"Import Quantity","Wheat","United States of America","Colombia"
"288",250,2020,15,46,0,"Import Quantity","Wheat","Democratic Republic of the Congo","Congo"
"289",231,2020,15,48,0,"Import Quantity","Wheat","United States of America","Costa Rica"
"290",3,2020,15,98,4535,"Import Quantity","Wheat","Albania","Croatia"
"291",11,2020,15,98,33155,"Import Quantity","Wheat","Austria","Croatia"
"292",80,2020,15,98,90967,"Import Quantity","Wheat","Bosnia and Herzegovina","Croatia"
"293",27,2020,15,98,14,"Import Quantity","Wheat","Bulgaria","Croatia"
"294",68,2020,15,98,50,"Import Quantity","Wheat","France","Croatia"
"295",79,2020,15,98,2809,"Import Quantity","Wheat","Germany","Croatia"
"296",84,2020,15,98,3070,"Import Quantity","Wheat","Greece","Croatia"
"297",97,2020,15,98,2328,"Import Quantity","Wheat","Hungary","Croatia"
"298",106,2020,15,98,348024,"Import Quantity","Wheat","Italy","Croatia"
"299",124,2020,15,98,4000,"Import Quantity","Wheat","Libya","Croatia"
"300",256,2020,15,98,651,"Import Quantity","Wheat","Luxembourg","Croatia"
"301",273,2020,15,98,14,"Import Quantity","Wheat","Montenegro","Croatia"
"302",154,2020,15,98,1486,"Import Quantity","Wheat","North Macedonia","Croatia"
"303",183,2020,15,98,13512,"Import Quantity","Wheat","Romania","Croatia"
"304",272,2020,15,98,19335,"Import Quantity","Wheat","Serbia","Croatia"
"305",199,2020,15,98,293,"Import Quantity","Wheat","Slovakia","Croatia"
"306",198,2020,15,98,26037,"Import Quantity","Wheat","Slovenia","Croatia"
"307",210,2020,15,98,317,"Import Quantity","Wheat","Sweden","Croatia"
"308",222,2020,15,98,15100,"Import Quantity","Wheat","Tunisia","Croatia"
"309",223,2020,15,98,6369,"Import Quantity","Wheat","Turkey","Croatia"
"310",229,2020,15,98,96,"Import Quantity","Wheat","United Kingdom of Great Britain and Northern Ireland","Croatia"
"311",105,2020,15,50,50,"Import Quantity","Wheat","Israel","Cyprus"
"312",229,2020,15,50,1,"Import Quantity","Wheat","United Kingdom of Great Britain and Northern Ireland","Cyprus"
"313",11,2020,15,167,296309,"Import Quantity","Wheat","Austria","Czechia"
"314",57,2020,15,167,164,"Import Quantity","Wheat","Belarus","Czechia"
"315",255,2020,15,167,23,"Import Quantity","Wheat","Belgium","Czechia"
"316",98,2020,15,167,4,"Import Quantity","Wheat","Croatia","Czechia"
"317",54,2020,15,167,3,"Import Quantity","Wheat","Denmark","Czechia"
"318",63,2020,15,167,0,"Import Quantity","Wheat","Estonia","Czechia"
"319",67,2020,15,167,6,"Import Quantity","Wheat","Finland","Czechia"
"320",68,2020,15,167,159,"Import Quantity","Wheat","France","Czechia"
"321",79,2020,15,167,1903889,"Import Quantity","Wheat","Germany","Czechia"
"322",97,2020,15,167,24,"Import Quantity","Wheat","Hungary","Czechia"
"323",106,2020,15,167,30607,"Import Quantity","Wheat","Italy","Czechia"
"324",126,2020,15,167,418,"Import Quantity","Wheat","Lithuania","Czechia"
"325",150,2020,15,167,39571,"Import Quantity","Wheat","Netherlands","Czechia"
"326",173,2020,15,167,209544,"Import Quantity","Wheat","Poland","Czechia"
"327",146,2020,15,167,20,"Import Quantity","Wheat","Republic of Moldova","Czechia"
"328",183,2020,15,167,6,"Import Quantity","Wheat","Romania","Czechia"
"329",185,2020,15,167,143,"Import Quantity","Wheat","Russian Federation","Czechia"
"330",272,2020,15,167,8,"Import Quantity","Wheat","Serbia","Czechia"
"331",199,2020,15,167,5295,"Import Quantity","Wheat","Slovakia","Czechia"
"332",198,2020,15,167,202,"Import Quantity","Wheat","Slovenia","Czechia"
"333",211,2020,15,167,10034,"Import Quantity","Wheat","Switzerland","Czechia"
"334",230,2020,15,167,193,"Import Quantity","Wheat","Ukraine","Czechia"
"335",229,2020,15,167,976,"Import Quantity","Wheat","United Kingdom of Great Britain and Northern Ireland","Czechia"
"336",226,2020,15,250,2,"Import Quantity","Wheat","Uganda","Democratic Republic of the Congo"
"337",11,2020,15,54,51,"Import Quantity","Wheat","Austria","Denmark"
"338",255,2020,15,54,3799,"Import Quantity","Wheat","Belgium","Denmark"
"339",41,2020,15,54,16,"Import Quantity","Wheat","China, mainland","Denmark"
"340",64,2020,15,54,5,"Import Quantity","Wheat","Faroe Islands","Denmark"
"341",68,2020,15,54,13608,"Import Quantity","Wheat","France","Denmark"
"342",73,2020,15,54,0,"Import Quantity","Wheat","Georgia","Denmark"
"343",79,2020,15,54,111291,"Import Quantity","Wheat","Germany","Denmark"
"344",99,2020,15,54,18160,"Import Quantity","Wheat","Iceland","Denmark"
"345",104,2020,15,54,151206,"Import Quantity","Wheat","Ireland","Denmark"
"346",105,2020,15,54,308,"Import Quantity","Wheat","Israel","Denmark"
"347",106,2020,15,54,33000,"Import Quantity","Wheat","Italy","Denmark"
"348",119,2020,15,54,126,"Import Quantity","Wheat","Latvia","Denmark"
"349",126,2020,15,54,37217,"Import Quantity","Wheat","Lithuania","Denmark"
"350",136,2020,15,54,12100,"Import Quantity","Wheat","Mauritania","Denmark"
"351",150,2020,15,54,28477,"Import Quantity","Wheat","Netherlands","Denmark"
